LIBELLE_QUALIFICATION,DOMAINE_TRAVAUX,ORGANISME,CODE_QUALIFICATION,TITRE_DOMAINE,NOMBRE_SIRET
Plâtrerie,Isolation du toit 2020,,4111D7,anciens domaines avant 2021,0
Plâtrerie,Isolation du toit 2020,,4112D7,anciens domaines avant 2021,0
Plâtrerie,Isolation du toit 2020,,4113D7,anciens domaines avant 2021,0
Plaques de plâtre,Isolation du toit 2020,,4131D7,anciens domaines avant 2021,0
Plaques de plâtre,Isolation du toit 2020,,4132D7,anciens domaines avant 2021,0
Plaques de plâtre,Isolation du toit 2020,,4133D7,anciens domaines avant 2021,0
Isolation thermique et acoustique par soufflage,Isolation du toit 2020,,7121D7,anciens domaines avant 2021,0
Isolation thermique par l'intérieur,Isolation du toit 2020,,7123D7,anciens domaines avant 2021,0
Isolation thermique et acoustique par soufflage,Isolation du toit 2020,,7141D7,anciens domaines avant 2021,0
Isolation thermique - correction acoustique par projection - injection,Isolation du toit 2020,,7142D7,anciens domaines avant 2021,0
Sécurité passive contre l'incendie,Isolation du toit 2020,,7143D7,anciens domaines avant 2021,0
Isolation et traitement acoustique,Isolation du toit 2020,,7212D7,anciens domaines avant 2021,0
Isolation et traitement acoustique,Isolation du toit 2020,,7213D7,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Charpentier",Isolation du toit 2020,,8611M3D7,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Plâtrier / Plaquiste",Isolation du toit 2020,,8611M4D7,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Couvreur",Isolation du toit 2020,,8611M8D7,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Agenceur",Isolation du toit 2020,,8611M9D7,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Charpentier",Isolation du toit 2020,,8621M3D7,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Agenceur",Isolation du toit 2020,,8621M9D7,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Isolation toitures dont toitures terrassés et planchers hauts",Isolation du toit 2020,,8621T17D7,anciens domaines avant 2021,0
Agencement,Isolation du toit 2020,,9112D7,anciens domaines avant 2021,0
Agencement,Isolation du toit 2020,,9113D7,anciens domaines avant 2021,0
Transformation et aménagement de combles,Isolation du toit 2020,,9161D7,anciens domaines avant 2021,0
QualiPAC - Pose de pompe à chaleur (PAC aérothermique et PAC géothermique),Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,4,anciens domaines avant 2021,0
"Equipements électriques hors ENR : chauffage, eau chaude, éclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,40MEE,anciens domaines avant 2021,0
"Equipements électriques hors ENR : chauffage, eau chaude, éclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,40MEEE,anciens domaines avant 2021,0
"Equipements électriques hors ENR : chauffage, eau chaude, éclairage et Ventilation","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,40MEEev,anciens domaines avant 2021,0
Ventilation,Ventilation 2020,,40MEEv,anciens domaines avant 2021,0
Mention Probatoire Economie d'Energie  (RGE),"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,40PMEE,anciens domaines avant 2021,0
Probatoire mention SPV (RGE),Panneaux photovoltaïques 2020,,40PSPV,anciens domaines avant 2021,0
Panneaux Photovoltaïques,Panneaux photovoltaïques 2020,,40SPV,anciens domaines avant 2021,0
Chauffage Mention Economie d'Energie,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,41CHMEE,anciens domaines avant 2021,0
Chauffage Ventillation Cliamtisation Mention Economie d'Energie,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,41MEE,anciens domaines avant 2021,0
Pompe à chaleur,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,41PACMEE,anciens domaines avant 2021,0
Mention Probatoire Economie d'Energie  (RGE),Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,41PMEE,anciens domaines avant 2021,0
Ventilation,Ventilation 2020,,41VMMEE,anciens domaines avant 2021,0
Panneaux Photovoltaïque,Panneaux photovoltaïques 2020,,43RGESPV,anciens domaines avant 2021,0
"Equipements électriques hors ENR : chauffage, eau chaude, éclairage et Ventilation","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,44LCPTRGEev,anciens domaines avant 2021,0
"Equipements électriques hors ENR : chauffage, eau chaude, éclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,45MGTIRGE,anciens domaines avant 2021,0
"Equipements électriques hors ENR : chauffage, eau chaude, éclairage et Ventilation","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,45MGTIRGEev,anciens domaines avant 2021,0
Chauffage,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,46RGECHE,anciens domaines avant 2021,0
Pompe à chaleur,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,48RGEPAC,anciens domaines avant 2021,0
Pompe à chaleur,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,49RGECET,anciens domaines avant 2021,0
Plomberie - sanitaire,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5111D10,anciens domaines avant 2021,0
"Installation de plomberie sanitaire en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5111D5,anciens domaines avant 2021,0
"Installation de plomberie sanitaire en habitat individuel, collectif et tertiaire inférieur à 1000 m²","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5111D9,anciens domaines avant 2021,0
Installation de plomberie sanitaire pour des bâtiments sans surpresseur supérieurs à 1000 m²,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5112D5,anciens domaines avant 2021,0
Installation de plomberie sanitaire pour des bâtiments sans surpresseur supérieurs à 1000 m²,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5112D9,anciens domaines avant 2021,0
Installation de plomberie sanitaire dans tout type de bâtiment avec surpresseur ou dans l'industrie,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5113D5,anciens domaines avant 2021,0
Installation de plomberie sanitaire dans tout type de bâtiment avec surpresseur ou dans l'industrie,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5113D9,anciens domaines avant 2021,0
Plomberie et fluides spéciaux,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5114D5,anciens domaines avant 2021,0
Plomberie et fluides spéciaux,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5114D9,anciens domaines avant 2021,0
Installation de réseaux de fluides spéciaux,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5121D5,anciens domaines avant 2021,0
Installation de réseaux de fluides spéciaux,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5121D9,anciens domaines avant 2021,0
"Installation de chauffe-eau solaire en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chauffage et/ou eau chaude solaire 2020,,5131D2,anciens domaines avant 2021,0
Installation de chauffe-eau solaire dans tout type de bâtiment supérieur à 1000 m²,Chauffage et/ou eau chaude solaire 2020,,5132D2,anciens domaines avant 2021,0
Installation de chauffe-eau thermodynamique,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,5133D3,anciens domaines avant 2021,0
Remplacement de chaudière gaz/fuel en logement individuel,Ventilation 2020,,5211D10,anciens domaines avant 2021,0
Remplacement de chaudière gaz/fuel en logement individuel,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5211D5,anciens domaines avant 2021,0
Remplacement de chaudière gaz/fuel en logement individuel,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5211D9,anciens domaines avant 2021,0
"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Ventilation 2020,,5212D10,anciens domaines avant 2021,0
"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5212D5,anciens domaines avant 2021,0
"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire inférieur à 1000 m2","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5212D9,anciens domaines avant 2021,0
"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire supérieur à 1000 m2",Ventilation 2020,,5213D10,anciens domaines avant 2021,0
"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire supérieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5213D5,anciens domaines avant 2021,0
"Installation de chauffage avec chaudière gaz/fuel en habitat individuel, collectif et tertiaire supérieur à 1000 m2","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5213D9,anciens domaines avant 2021,0
Installation d'appareil de chauffage bois indépendant : poêle et insert,Chauffage et/ou eau chaude au bois 2020,,5221D1,anciens domaines avant 2021,0
"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chauffage et/ou eau chaude au bois 2020,,5222D1,anciens domaines avant 2021,0
"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Chauffage et/ou eau chaude au bois 2020,,5223D1,anciens domaines avant 2021,0
"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,5231D3,anciens domaines avant 2021,0
"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5231D9,anciens domaines avant 2021,0
"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,5232D3,anciens domaines avant 2021,0
"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,5232D9,anciens domaines avant 2021,0
"Entretien et maintenance d'installation de chauffage avec chaudière en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5261D5,anciens domaines avant 2021,0
"Entretien et maintenance d'installation de chauffage avec chaudière en habitat individuel, collectif et tertiaire inférieur à 1000 m2","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5261D9,anciens domaines avant 2021,0
Maintenance d'installation de chauffage avec chaudière dans tout type de bâtiment supérieur à 1000 m2,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5262D5,anciens domaines avant 2021,0
Maintenance d'installation de chauffage avec chaudière dans tout type de bâtiment supérieur à 1000 m2,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5262D9,anciens domaines avant 2021,0
"Exploitation d'installation de chauffage et de rafraichissement avec garantie totale en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5273D5,anciens domaines avant 2021,0
Exploitation d'installation de chauffage et de rafraichissement avec garantie totale dans tout type de bâtiment supérieur à 1000 m2,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5274D5,anciens domaines avant 2021,0
"Installation de vmc en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Ventilation 2020,,5311D10,anciens domaines avant 2021,0
Installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5311D5,anciens domaines avant 2021,0
Installations thermiques,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5311D9,anciens domaines avant 2021,0
"Installation de vmc en habitat individuel, collectif et tertiaire supérieur à 1000 m2",Ventilation 2020,,5312D10,anciens domaines avant 2021,0
Installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5312D5,anciens domaines avant 2021,0
Installations thermiques,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5312D9,anciens domaines avant 2021,0
Installations thermiques,Ventilation 2020,,5313D10,anciens domaines avant 2021,0
Installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5313D5,anciens domaines avant 2021,0
Installations thermiques,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5313D9,anciens domaines avant 2021,0
Régulation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5342D9,anciens domaines avant 2021,0
Rénovation d'installations de chauffage,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5361D5,anciens domaines avant 2021,0
Rénovation d'installations de chauffage,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5361D9,anciens domaines avant 2021,0
Rénovation de chaufferies,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5362D5,anciens domaines avant 2021,0
Rénovation de chaufferies,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5362D9,anciens domaines avant 2021,0
Rénovation de chaufferies,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5363D5,anciens domaines avant 2021,0
Rénovation de chaufferies,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5363D9,anciens domaines avant 2021,0
Climatisation,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5412D5,anciens domaines avant 2021,0
Climatisation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5412D9,anciens domaines avant 2021,0
Climatisation,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5413D5,anciens domaines avant 2021,0
Climatisation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5413D9,anciens domaines avant 2021,0
Climatisation,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5414D5,anciens domaines avant 2021,0
Climatisation,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5414D9,anciens domaines avant 2021,0
Climatiseurs individuels,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5421D9,anciens domaines avant 2021,0
Climatiseurs autonomes,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5422D9,anciens domaines avant 2021,0
Climatiseurs à détente directe,"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5423D9,anciens domaines avant 2021,0
Ventilation Mécanique Contrôlée,Ventilation 2020,,5431D10,anciens domaines avant 2021,0
Ventilation Mécanique Contrôlée,Ventilation 2020,,5431D9,anciens domaines avant 2021,0
Conduits aérauliques,Ventilation 2020,,5432D10,anciens domaines avant 2021,0
Ventilation,Ventilation 2020,,5433D10,anciens domaines avant 2021,0
Maintenance d'installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5511D5,anciens domaines avant 2021,0
Installation de systèmes de gestion technique du bâtiment (gtb),"Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,5511D9,anciens domaines avant 2021,0
Maintenance d'installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5512D5,anciens domaines avant 2021,0
Maintenance d'installations thermiques,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5513D5,anciens domaines avant 2021,0
Exploitation sans garantie totale d'installations d'importance moyenne,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5532D5,anciens domaines avant 2021,0
Exploitation sans garantie totale d'installations de toute importance,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5533D5,anciens domaines avant 2021,0
Exploitation avec garantie totale d'installations de faible et moyenne importance,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5542D5,anciens domaines avant 2021,0
Exploitation avec garantie totale d'installations d'importance moyenne,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5543D5,anciens domaines avant 2021,0
Exploitation avec garantie totale d'installations de toute importance,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5544D5,anciens domaines avant 2021,0
Gestion d'équipements de production et de transport d'énergie calorifique ou frigorifique,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5554D5,anciens domaines avant 2021,0
Maintenance des appareils individuels de production de chauffage et d'eau chaude sanitaire,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5561D5,anciens domaines avant 2021,0
Maintenance des appareils individuels de chauffage et d'eau chaude sanitaire et VMC gaz associé,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,5562D5,anciens domaines avant 2021,0
Installations photovoltaïques de puissance inférieure à 250 kWc,Panneaux photovoltaïques 2020,,5911D4,anciens domaines avant 2021,0
Installations photovoltaïques de puissance supérieure à 250 kWc,Panneaux photovoltaïques 2020,,5912D4,anciens domaines avant 2021,0
"Equipements électriques hors ENR : chauffage, eau chaude, éclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,62MEE,anciens domaines avant 2021,0
Modules photovoltaïques intégrés,Panneaux photovoltaïques 2020,,8111D2,anciens domaines avant 2021,0
Modules photovoltaïques intégrés,Panneaux photovoltaïques 2020,,8111D4,anciens domaines avant 2021,0
Modules photovoltaïques intégrés,Panneaux photovoltaïques 2020,,8112D4,anciens domaines avant 2021,0
Modules photovoltaïques intégrés,Panneaux photovoltaïques 2020,,8113D4,anciens domaines avant 2021,0
Modules photovoltaïques surimposés ou de substitution,Panneaux photovoltaïques 2020,,8121D4,anciens domaines avant 2021,0
Modules photovoltaïques surimposés ou de substitution,Panneaux photovoltaïques 2020,,8122D4,anciens domaines avant 2021,0
Modules photovoltaïques surimposés ou de substitution,Panneaux photovoltaïques 2020,,8123D4,anciens domaines avant 2021,0
Installations solaires thermiques en habitat individuel,Chauffage et/ou eau chaude solaire 2020,,8211D2,anciens domaines avant 2021,0
Installations solaires thermiques en habitat collectif ou tertiaire,Chauffage et/ou eau chaude solaire 2020,,8212D2,anciens domaines avant 2021,0
Installations solaires thermiques en habitat collectif ou tertiaire avec contrôle des performances,Chauffage et/ou eau chaude solaire 2020,,8213D2,anciens domaines avant 2021,0
Installations solaires thermiques,Chauffage et/ou eau chaude solaire 2020,,8214D2,anciens domaines avant 2021,0
Installations géothermiques en habitat individuel,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,8311D3,anciens domaines avant 2021,0
Installations géothermiques en habitat collectif ou tertiaire,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,8312D3,anciens domaines avant 2021,0
Installations géothermiques en habitat collectif ou tertiaire,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,8313D3,anciens domaines avant 2021,0
Installations aérothermiques en habitat individuel,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,8321D3,anciens domaines avant 2021,0
Chauffe-eau thermodynamiques,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,8331D3,anciens domaines avant 2021,0
Installations thermiques bois énergie en habitat individuel,Chauffage et/ou eau chaude au bois 2020,,8411D1,anciens domaines avant 2021,0
Installations thermiques bois énergie en habitat collectif ou tertiaire,Chauffage et/ou eau chaude au bois 2020,,8412D1,anciens domaines avant 2021,0
Installations thermiques bois énergie en habitat collectif ou tertiaire,Chauffage et/ou eau chaude au bois 2020,,8413D1,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Plombier",Ventilation 2020,,8611M11D10,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Plombier",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,8611M11D5,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Plombier","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,8611M11D9,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Chauffagiste",Ventilation 2020,,8611M12D10,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Chauffagiste",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,8611M12D5,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Chauffagiste","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,8611M12D9,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Électricien",Ventilation 2020,,8611M13D10,anciens domaines avant 2021,0
"Efficacité énergétique - ""ECO Artisan®"" - Électricien","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,8611M13D9,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Chauffage, ventilation, climatisation",Ventilation 2020,,8621T14D10,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Chauffage, ventilation, climatisation",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,8621T14D5,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Chauffage, ventilation, climatisation","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,8621T14D9,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chauffage et/ou eau chaude au bois 2020,,8621T15D1,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chauffage et/ou eau chaude solaire 2020,,8621T15D2,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,8621T15D3,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Panneaux photovoltaïques 2020,,8621T15D4,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Eclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,8621T19D9,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Eau chaude sanitaire",Ventilation 2020,,8621T20D10,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Eau chaude sanitaire",Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,8621T20D5,anciens domaines avant 2021,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Eau chaude sanitaire","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,8621T20D9,anciens domaines avant 2021,0
"Equipements électriques hors ENR : chauffage, eau chaude, éclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",,MEE,anciens domaines avant 2021,0
Pompe à chaleur,Pompe à chaleur et/ou Chauffe-eau thermodynamique 2020,,PACMEE,anciens domaines avant 2021,0
Professionnel du Gaz - Efficacité énergétique,Chaudière condensation ou micro-cogénération gaz ou fioul 2020,,PG00D5,anciens domaines avant 2021,0
Panneaux Photovoltaïques,Panneaux photovoltaïques 2020,,SPV,anciens domaines avant 2021,0
Ventilation,Ventilation 2020,,VMMEE,anciens domaines avant 2021,0
Fabrication et pose de bâtiments à ossature bois,"Fenêtres, volets, portes donnant sur l'extérieur",,2362D109,Travaux d'efficacité énergétique,0
Fabrication et pose de bâtiments à ossature bois,Fenêtres de toit,,2362D110,Travaux d'efficacité énergétique,0
Fabrication et pose de bâtiments à ossature bois,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,,2362D111,Travaux d'efficacité énergétique,0
Fabrication et pose de bâtiments à ossature bois,Isolation des murs par l'extérieur,,2362D112,Travaux d'efficacité énergétique,0
Fabrication et pose de bâtiments à ossature bois,Isolation des toitures terrasses ou des toitures par l'extérieur,,2362D113,Travaux d'efficacité énergétique,0
Fabrication et pose de bâtiments à ossature bois,Isolation des combles perdus,,2362D114,Travaux d'efficacité énergétique,0
Fabrication et pose de bâtiments à ossature bois,Isolation des planchers bas,,2362D115,Travaux d'efficacité énergétique,0
"Fourniture et pose de menuiseries extérieures en maison individuelle, petit collectif et petit tertiaire",,,3511D8,,0
"Radiateurs électriques, dont régulation","Radiateurs électriques, dont régulation.",,42MIE,Travaux d'efficacité énergétique,0
Fourniture et pose de menuiserie intérieure en bois,,,4312D8,,0
Fabrication et pose de menuiserie intérieure en bois,,,4322D8,,0
Fabrication et pose de menuiserie intérieure en bois,,,4323D8,,0
"Installation de chauffage à gaz décentralisée : aérotherme, radiants, générateur d'air chaud",,,5214D5,,0
"Installation de chauffage à gaz décentralisée : aérotherme, radiants, générateur d'air chaud",,,5214D9,,0
"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2",,,5231D5,,0
Installation de chauffage solaire et ecs,,,5241D2,,0
"Maintenance d'installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2",,,5263D5,,0
"Maintenance d'installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2",,,5263D9,,0
Exploitation d'installation de chauffage et de rafraichissement avec obligation de résultat dans tout type de bâtiment ou industrie supérieur à 1000 m2,,,5272D9,,0
Exploitation d'installation de chauffage et de rafraichissement avec garantie totale dans tout type de bâtiment supérieur à 1000 m2,,,5274D9,,0
Maintenance des réseaux aérauliques,,,5333D10,,0
Installations photovoltaïques de puissance inférieure à 250 kWc,,,5911D2,,0
"Radiateurs électriques, dont régulation","Radiateurs électriques, dont régulation.",,61CF,Travaux d'efficacité énergétique,0
"Radiateurs électriques, dont régulation","Radiateurs électriques, dont régulation.",,64CFLCPT,Travaux d'efficacité énergétique,0
"Radiateurs électriques, dont régulation","Radiateurs électriques, dont régulation.",,65CFMGTI,Travaux d'efficacité énergétique,0
Ventilation + - Pose de ventilation double flux,Ventilation mécanique,,71,Travaux d'efficacité énergétique,0
Isolation thermique par l'extérieur,,,7131D7,,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Maçon",,,8621M1D8,,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Plâtrier / Plaquiste",,,8621M4D7,,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Plâtrier / Plaquiste",,,8621M4D8,,0
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Couvreur",,,8621M8D7,,0
"Efficacité énergétique - ""offre globale""",Projet complet de rénovation,,8632D12,Rénovation globale,0
"Efficacité énergétique - ""offre globale""",Projet complet de rénovation,,8633D12,Rénovation globale,0
BENR RGE Etudes de Faisabilité et Conception de la performance énergétique de l?enveloppe,,,BENRFCE,,0
Offre Globale de Rénovation Energétique,Projet complet de rénovation,,C001D12,Rénovation globale,0
Travaux de rénovation globale et environnementale,Projet complet de rénovation,,NFMRHQE440,Rénovation globale,0
AUDIT ENERGETIQUE BATIMENTS,Audit énergétique,afnor,CP032,Etudes énergétiques,5
Audit énergétique,Audit énergétique,cequami,AUDIT500-02,Etudes énergétiques,45
Travaux de rénovation globale,Projet complet de rénovation,cequami,NFMR440,Rénovation globale,109
Offre Globale de Rénovation Energétique,Projet complet de rénovation,certibat,C001D117,Rénovation globale,123
Offre Globale de Rénovation Energétique,Audit énergétique,certibat,C001D119,Etudes énergétiques,123
ARCHITECTE ELIGIBLE AUDIT ENERGETIQUE « MAPRIMERENOV »,Audit énergétique,cnoa,1,Etudes énergétiques,269
Architecte sur le site faire.fr,Architecte,cnoa,2,Rénovation globale,3148
BENR RGE Etudes d?Exécution et suivi de travaux de la performance énergétique des lots techniques avec la mention « Solaire Thermique »,,icert,BENRESST,,1
BENR RGE Etudes thermiques réglementaires,,icert,BENRET,,23
BENR RGE Etudes de faisabilité et conception de la performance énergétique des lots techniques sans ENR,,icert,BENRFCLT,,2
BENR RGE Etudes de faisabilité et conception de la performance énergétique des lots techniques avec la mention « Solaire Photovoltaïque »,,icert,BENRFCSP,,1
BENR RGE Etudes de faisabilité et conception de la performance énergétique des lots techniques avec la mention « Solaire Thermique »,,icert,BENRFCST,,4
